/
'12DGR120tipp                  '130.08317
'12DGR140tipp                  '130.08317
'12DGR141tipp                  '130.08317
'12DGR160tipp                  '130.08317
'12DGR161tipp                  '130.08317
'12DGR180tipp                  '130.08317
'12DGR181tipp                  '130.08317
'CBLAT_f                       '  0.00070
'CBLAT_b                       '  0.00000
'CBMKr_f                       ' 48.97578
'CBMKr_b                       '  0.00000
'CBPS                          '146.34356
'CD2abcpp                      '292.68713
'CD2t3pp                       '1.0000E+3
'CD2tex_f                      '  0.00000
'CD2tex_b                      '  0.00000
'CD2tpp                        '1.0000E+3
'CDAPPA120                     '292.68713
'CDAPPA140                     '292.68713
'CDAPPA141                     '292.68713
'CDAPPA160                     '292.68713
'CDAPPA161                     '292.68713
'CDAPPA180                     '292.68713
'CDAPPA181                     '292.68713
'CDPMEK                        '  0.02066
'CFAS160E                      '  0.00000
'CFAS160G                      '  0.00000
'CFAS180E                      '  0.00000
'CFAS180G                      '  0.00000
'CGLYabcpp                     ' 68.86756
'CGLYtex_f                     '  0.00000
'CGLYtex_b                     '  0.00000
'CHLabcpp                      '  0.00000
'CHLt2pp                       '  0.00000
'CHLtex_f                      '  0.00000
'CHLtex_b                      '  0.00000
'CHORM                         ' 34.37112
'CHORS                         ' 34.38900
'CHRPL                         '  0.00070
'CINNDO                        '  0.00000
'CITL                          '292.68713
'CITt7pp                       '  0.00000
'CITtex_f                      '  0.00000
'CITtex_b                      '  0.00000
'CLIPAtex                      '  2.80779
'CLPNH120pp                    ' 65.04158
'CLPNH140pp                    ' 65.04158
'CLPNH141pp                    ' 65.04158
'CLPNH160pp                    ' 65.04158
'CLPNH161pp                    ' 65.04158
'CLPNH180pp                    ' 65.04158
'CLPNH181pp                    ' 65.04158
'CLPNS120pp_f                  ' 65.04158
'CLPNS120pp_b                  '  0.00000
'CLPNS140pp_f                  ' 65.04158
'CLPNS140pp_b                  '  0.00000
'CLPNS141pp_f                  ' 65.04158
'CLPNS141pp_b                  '  0.00000
'CLPNS160pp_f                  ' 65.04250
'CLPNS160pp_b                  '  0.00000
'CLPNS161pp_f                  ' 65.04229
'CLPNS161pp_b                  '  0.00000
'CLPNS180pp_f                  ' 65.04158
'CLPNS180pp_b                  '  0.00000
'CLPNS181pp_f                  ' 65.04195
'CLPNS181pp_b                  '  0.00000
'CLt3_2pp                      '  0.00734
'CLtex_f                       '  0.01467
'CLtex_b                       '  0.00000
'CMPN                          ' 97.56238
'CMPtex_f                      '  0.00000
'CMPtex_b                      '  0.00000
'CO2tex_f                      '  0.00000
'CO2tex_b                      '  0.00000
'CO2tpp_f                      ' 28.66608
'CO2tpp_b                      '  0.00000
'COBALT2abcpp                  '292.68713
'COBALT2t3pp                   '999.99907
'COBALT2tex_f                  '  0.00978
'COBALT2tex_b                  '  0.00000
'COBALT2tpp                    '1.0000E+3
'COLIPAabcpp                   '  1.91343
'COLIPAtex                     '  1.91343
'CPGNabcpp                     '141.90919
'CPGNexs                       '141.90919
'CPGNR1                        ' 70.95460
'CPGNR2                        ' 70.95460
'CPGNR3                        ' 70.95460
'CPGNtonex                     '141.90919
'CPGNUtex                      '141.90919
'CPGNUtpp                      '141.90919
'CPPPGO                        '  0.00000
'CPPPGO2                       '  5.36644
'CRNabcpp                      '390.24951
'CRNBTCT_f                     '  0.00000
'CRNBTCT_b                     '  0.00000
'CRNCAL2                       '  0.00000
'CRNCAR_f                      '  0.00000
'CRNCAR_b                      '  0.00000
'CRNCBCT_f                     '  0.00000
'CRNCBCT_b                     '  0.00000
'CRNCDH_f                      '  0.00000
'CRNCDH_b                      '  0.00000
'CRNDabcpp                     '390.24951
'CRNDCAL2                      '  0.00000
'CRNDt2rpp_f                   '  0.00000
'CRNDt2rpp_b                   '  0.00000
'CRNt2rpp_f                    '  0.00000
'CRNt2rpp_b                    '  0.00000
'CRNt7pp                       '  0.00000
'CRNt8pp                       '  0.00000
'CRNtex_f                      '  0.00000
'CRNtex_b                      '  0.00000
'CS                            '293.02444
'CSND                          ' 97.56238
'CSNt2pp                       '  0.00000
'CSNtex_f                      '  0.00000
'CSNtex_b                      '  0.00000
'CTBTabcpp                     '390.24951
'CTBTCAL2                      '  0.00000
'CTBTt2rpp_f                   '  0.00000
'CTBTt2rpp_b                   '  0.00000
'CTPS2                         ' 97.61312
'CU1abcpp                      '  0.00000
'CU1Opp                        '  0.00000
'CU2abcpp                      '292.68713
'CU2tex_f                      '  0.00978
'CU2tex_b                      '  0.00000
'CU2tpp                        '292.68806
'CUt3                          '  0.00000
'CUtex_f                       '  0.00000
'CUtex_b                       '  0.00000
'CYANST                        '  0.00000
'CYANSTpp                      '  0.00000
'CYANtex_f                     '  0.00000
'CYANtex_b                     '  0.00000
'CYNTAH                        '  0.00000
'CYNTt2pp                      '  0.00000
'CYNTtex_f                     '  0.00000
'CYNTtex_b                     '  0.00000
'CYSabc2pp                     '146.34356
'CYSabcpp                      '292.68713
'CYSDabcpp                     '  0.00000
'CYSDDS                        '  0.00000
'CYSDS                         '  0.00000
'CYSDtex_f                     '  0.00000
'CYSDtex_b                     '  0.00000
'CYSS                          ' 37.84034
'CYSSADS                       '  0.00000
'CYStex_f                      '  0.00000
'CYStex_b                      '  0.00000
'CYSTL                         '  0.47774
'CYStpp                        '292.68713
'CYSTRS                        '  0.00000
'CYTBD2pp                      '  0.00000
'CYTBDpp                       '  0.00000
'CYTBO3_4pp                    '  0.00000
'CYTD                          '  0.00000
'CYTDH                         '  0.00000
'CYTDK2                        '292.68713
'CYTDt2pp                      '1.0000E+3
'CYTDt2rpp_f                   '  0.00000
'CYTDt2rpp_b                   '  0.00000
'CYTDtex_f                     '  0.00000
'CYTDtex_b                     '  0.00000
