* Pathways from iAF1260

AMALT2	[c] : malt + maltttr --> glc-D + maltpt
AMALT3	[c] : malt + maltpt --> glc-D + malthx
AMALT4	[c] : malt + malthx --> glc-D + malthp
AMANAPEr	[c] : acmanap <==> acgam6p
AMANK	[c] : acmana + atp --> acmanap + adp + h
AMAOTr	[c] : 8aonn + amet <==> amob + dann
AMMQLT8	[c] : 2dmmql8 + amet --> ahcys + h + mql8
AMPMS2	[c] : air + h2o + nad --> 4ampm + (2) for + (3) h + nadh
AMPN	[c] : amp + h2o --> ade + r5p
AMPTASECG	[c] : cgly + h2o --> cys-L + gly
AMPTASEPG	[c] : h2o + progly --> gly + pro-L
AMPtex	amp[e] <==> amp[p]
ANHGMtex	anhgm[e] <==> anhgm[p]
ANHMK	[c] : anhm + atp + h2o --> acmum6p + adp + h
ANPRT	[c] : anth + prpp --> ppi + pran
ANS	[c] : chor + gln-L --> anth + glu-L + h + pyr
AOBUTDs	[c] : 2aobut + h --> aact + co2
AOXSr	[c] : ala-L + h + pmcoa <==> 8aonn + co2 + coa
AP4AH	[c] : ap4a + h2o --> (2) adp + (2) h
AP5AH	[c] : ap5a + h2o --> adp + atp + (2) h
APRAUR	[c] : 5apru + h + nadph --> 5aprbu + nadp
ARAI	[c] : arab-L <==> rbl-L
ARBabcpp	arab-L[p] + atp[c] + h2o[c] --> adp[c] + arab-L[c] + h[c] + pi[c]
ARBt2rpp	arab-L[p] + h[p] <==> arab-L[c] + h[c]
ARBt3ipp	arab-L[c] + h[p] --> arab-L[p] + h[c]
ARBtex	arab-L[e] <==> arab-L[p]
ARBTNabcpp	arbtn-fe3[p] + atp[c] + h2o[c] --> adp[c] + arbtn-fe3[c] + h[c] + pi[c]
ARBTNexs	[e] : arbtn + fe3 --> arbtn-fe3
ARBTNR1	[c] : (2) arbtn-fe3 + fadh2 --> (2) arbtn + fad + (2) fe2 + (2) h
ARBTNR2	[c] : (2) arbtn-fe3 + fmnh2 --> (2) arbtn + (2) fe2 + fmn + (2) h
ARBTNR3	[c] : (2) arbtn-fe3 + rbflvrd --> (2) arbtn + (2) fe2 + (2) h + ribflv
ARBTNtex	arbtn[p] + h[p] --> arbtn[e] + h[c]
ARBTNtonex	arbtn-fe3[e] + h[p] --> arbtn-fe3[p] + h[c]
ARBTNtpp	arbtn[c] + h[p] --> arbtn[p] + h[c]
ARGabcpp	arg-L[p] + atp[c] + h2o[c] --> adp[c] + arg-L[c] + h[c] + pi[c]
ARGAGMt7pp	agm[c] + arg-L[p] <==> agm[p] + arg-L[c]
ARGDC	[c] : arg-L + h --> agm + co2
ARGDCpp	[p] : arg-L + h --> agm + co2
ARGORNt7pp	arg-L[p] + orn[c] <==> arg-L[c] + orn[p]
ARGSL	[c] : argsuc <==> arg-L + fum
ARGSS	[c] : asp-L + atp + citr-L --> amp + argsuc + h + ppi
ARGt3pp	arg-L[c] + h[p] --> arg-L[p] + h[c]
ARGtex	arg-L[e] <==> arg-L[p]
ARGTRS	[c] : arg-L + atp + trnaarg --> amp + argtrna + ppi
ASAD	[c] : aspsa + nadp + pi <==> 4pasp + h + nadph
ASCBPL	[c] : ascb6p + h2o --> 3dhgulnp + h
ASCBptspp	ascb-L[p] + pep[c] --> ascb6p[c] + pyr[c]
ASCBtex	ascb-L[e] <==> ascb-L[p]
ASNabcpp	asn-L[p] + atp[c] + h2o[c] --> adp[c] + asn-L[c] + h[c] + pi[c]
ASNN	[c] : asn-L + h2o --> asp-L + nh4
ASNNpp	[p] : asn-L + h2o --> asp-L + nh4
ASNS1	[c] : asp-L + atp + gln-L + h2o --> amp + asn-L + glu-L + h + ppi
ASNS2	[c] : asp-L + atp + nh4 --> amp + asn-L + h + ppi
ASNt2rpp	asn-L[p] + h[p] <==> asn-L[c] + h[c]
ASNtex	asn-L[e] <==> asn-L[p]
ASNTRS	[c] : asn-L + atp + trnaasn --> amp + asntrna + ppi
ASO3t8pp	aso3[c] + atp[c] + h2o[c] --> adp[c] + aso3[p] + h[c] + pi[c]
ASO3tex	aso3[e] <==> aso3[p]
ASP1DC	[c] : asp-L + h --> ala-B + co2
ASPabcpp	asp-L[p] + atp[c] + h2o[c] --> adp[c] + asp-L[c] + h[c] + pi[c]
